,location,total_sqft,bath,balcony,price,bhk
78,5th Phase JP Nagar,1080.0,2.0,1.0,53.0,2
79,5th Phase JP Nagar,1041.0,2.0,2.0,54.0,2
80,5th Phase JP Nagar,812.0,2.0,1.0,42.0,2
81,5th Phase JP Nagar,1010.0,2.0,2.0,57.0,2
82,5th Phase JP Nagar,1450.0,2.0,2.0,73.0,3
83,5th Phase JP Nagar,2500.0,8.0,3.0,95.0,7
84,5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2
85,6th Phase JP Nagar,1192.0,2.0,2.0,74.0,2
86,6th Phase JP Nagar,1180.0,2.0,3.0,80.0,2
87,6th Phase JP Nagar,3245.0,4.0,2.0,250.0,4
89,6th Phase JP Nagar,1280.0,2.0,2.0,56.0,2
90,6th Phase JP Nagar,1140.0,2.0,2.0,65.0,2
91,6th Phase JP Nagar,600.0,1.0,1.0,75.0,1
92,6th Phase JP Nagar,2040.0,3.0,2.0,200.0,3
93,6th Phase JP Nagar,1213.0,2.0,1.0,63.0,2
95,6th Phase JP Nagar,1170.0,2.0,2.0,120.0,2
96,6th Phase JP Nagar,1216.0,2.0,2.0,60.0,2
97,6th Phase JP Nagar,1460.0,2.0,2.0,80.0,2
98,6th Phase JP Nagar,2003.0,3.0,3.0,200.0,3
100,6th Phase JP Nagar,1810.0,3.0,3.0,131.0,3
101,6th Phase JP Nagar,750.0,1.0,1.0,105.0,1
102,6th Phase JP Nagar,1515.0,2.0,2.0,135.0,3
103,6th Phase JP Nagar,1192.0,2.0,3.0,75.0,2
104,6th Phase JP Nagar,1280.0,2.0,1.0,88.0,2
105,7th Phase JP Nagar,1000.0,2.0,1.0,38.0,2
106,7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2
107,7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2
108,7th Phase JP Nagar,1420.0,2.0,1.0,100.0,3
109,7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3
110,7th Phase JP Nagar,1245.0,2.0,1.0,94.0,2
111,7th Phase JP Nagar,1175.0,2.0,1.0,82.0,2
112,7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3
113,7th Phase JP Nagar,3600.0,4.0,3.0,400.0,4
114,7th Phase JP Nagar,2225.0,3.0,1.0,160.0,3
115,7th Phase JP Nagar,1050.0,2.0,1.0,71.0,2
116,7th Phase JP Nagar,1100.0,2.0,0.0,46.0,2
117,7th Phase JP Nagar,918.0,2.0,1.0,50.49,2
118,7th Phase JP Nagar,1450.0,2.0,1.0,100.0,3
119,7th Phase JP Nagar,1040.0,2.0,1.0,39.52,2
120,7th Phase JP Nagar,1070.0,2.0,1.0,42.79,2
121,7th Phase JP Nagar,1190.0,2.0,1.0,49.98,2
122,7th Phase JP Nagar,1500.0,3.0,1.0,170.0,3
123,7th Phase JP Nagar,1420.0,2.0,2.0,96.0,3
124,7th Phase JP Nagar,1680.0,3.0,2.0,120.0,3
125,7th Phase JP Nagar,1050.0,2.0,1.0,42.0,2
126,7th Phase JP Nagar,980.0,2.0,2.0,69.0,2
127,7th Phase JP Nagar,1035.0,2.0,1.0,41.39,2
128,7th Phase JP Nagar,1370.0,2.0,1.0,56.17,2
129,7th Phase JP Nagar,1180.0,2.0,2.0,72.0,2
130,7th Phase JP Nagar,5080.0,7.0,2.0,450.0,6
135,7th Phase JP Nagar,1400.0,3.0,1.0,115.0,3
136,7th Phase JP Nagar,1075.0,2.0,1.0,42.99,2
137,7th Phase JP Nagar,1100.0,2.0,2.0,44.0,2
138,7th Phase JP Nagar,1270.0,2.0,1.0,83.0,2
140,7th Phase JP Nagar,2503.0,4.0,0.0,188.0,4
141,7th Phase JP Nagar,2200.0,3.0,2.0,190.0,3
142,7th Phase JP Nagar,1035.0,2.0,1.0,39.33,2
144,7th Phase JP Nagar,1050.0,2.0,1.0,42.0,2
146,7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3
147,7th Phase JP Nagar,1850.0,3.0,2.0,140.0,3
150,7th Phase JP Nagar,3600.0,3.0,2.0,410.0,4
151,7th Phase JP Nagar,4800.0,7.0,0.0,170.0,7
153,7th Phase JP Nagar,1575.0,2.0,2.0,120.0,3
154,7th Phase JP Nagar,1850.0,3.0,2.0,150.0,3
155,7th Phase JP Nagar,1680.0,3.0,2.0,120.0,3
156,7th Phase JP Nagar,1212.0,3.0,1.0,42.0,2
157,7th Phase JP Nagar,1175.0,2.0,2.0,82.5,2
160,7th Phase JP Nagar,1215.0,2.0,2.0,90.0,2
161,7th Phase JP Nagar,1050.0,2.0,1.0,75.0,2
162,7th Phase JP Nagar,1300.0,3.0,2.0,89.13,3
163,7th Phase JP Nagar,1130.0,2.0,2.0,73.0,2
164,7th Phase JP Nagar,1450.0,3.0,2.0,100.0,3
166,7th Phase JP Nagar,1050.0,2.0,1.0,50.0,2
167,7th Phase JP Nagar,1275.0,2.0,1.0,87.0,2
169,7th Phase JP Nagar,1650.0,3.0,2.0,110.0,3
170,7th Phase JP Nagar,850.0,2.0,2.0,42.0,2
171,7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3
172,7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3
173,7th Phase JP Nagar,1236.0,2.0,2.0,61.33,2
174,7th Phase JP Nagar,1000.0,2.0,2.0,53.0,2
175,7th Phase JP Nagar,1680.0,3.0,2.0,125.0,3
176,7th Phase JP Nagar,1675.0,2.0,2.0,135.0,3
177,7th Phase JP Nagar,1035.0,2.0,1.0,39.33,2
178,7th Phase JP Nagar,1187.0,2.0,1.0,59.0,2
179,7th Phase JP Nagar,1850.0,3.0,2.0,155.0,3
180,7th Phase JP Nagar,1000.0,2.0,1.0,61.0,2
181,7th Phase JP Nagar,1460.0,2.0,2.0,100.0,3
182,7th Phase JP Nagar,1650.0,3.0,3.0,110.0,3
183,7th Phase JP Nagar,1200.0,2.0,2.0,62.5,2
184,7th Phase JP Nagar,1000.0,2.0,1.0,70.65,2
185,7th Phase JP Nagar,1070.0,2.0,2.0,42.0,2
186,7th Phase JP Nagar,1080.0,2.0,2.0,75.0,2
187,7th Phase JP Nagar,2100.0,3.0,2.0,200.0,3
189,7th Phase JP Nagar,1680.0,3.0,3.0,125.0,3
190,7th Phase JP Nagar,1040.0,2.0,1.0,41.59,2
191,7th Phase JP Nagar,1100.0,2.0,1.0,44.0,2
192,7th Phase JP Nagar,1460.0,2.0,1.0,97.0,3
193,7th Phase JP Nagar,1120.0,2.0,2.0,65.0,2
194,7th Phase JP Nagar,1100.0,3.0,1.0,60.0,2
195,7th Phase JP Nagar,1790.0,3.0,3.0,120.0,3
196,7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3
197,7th Phase JP Nagar,1050.0,2.0,1.0,77.0,2
198,7th Phase JP Nagar,1174.0,2.0,1.0,47.0,2
199,7th Phase JP Nagar,1050.0,2.0,1.0,75.0,2
200,7th Phase JP Nagar,1040.0,2.0,1.0,75.0,2
201,7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3
202,7th Phase JP Nagar,1800.0,3.0,2.0,130.0,3
203,7th Phase JP Nagar,1050.0,2.0,0.0,68.0,2
205,7th Phase JP Nagar,1000.0,2.0,2.0,60.0,2
206,7th Phase JP Nagar,1680.0,3.0,2.0,125.0,3
207,7th Phase JP Nagar,980.0,2.0,1.0,86.0,2
209,7th Phase JP Nagar,1050.0,2.0,1.0,77.47,2
210,7th Phase JP Nagar,1270.0,2.0,1.0,80.0,2
212,7th Phase JP Nagar,1680.0,3.0,2.0,122.0,3
213,7th Phase JP Nagar,1070.0,2.0,1.0,42.79,2
214,7th Phase JP Nagar,1130.0,2.0,2.0,85.0,2
215,7th Phase JP Nagar,1680.0,3.0,3.0,130.0,3
218,7th Phase JP Nagar,2980.0,4.0,2.0,260.0,3
219,7th Phase JP Nagar,980.0,2.0,1.0,77.44,2
220,7th Phase JP Nagar,1680.0,3.0,2.0,112.0,3
222,7th Phase JP Nagar,2095.0,3.0,2.0,150.0,3
224,7th Phase JP Nagar,3200.0,4.0,2.0,350.0,4
225,7th Phase JP Nagar,1976.0,3.0,1.0,145.0,3
226,7th Phase JP Nagar,1600.0,2.0,2.0,110.0,3
227,7th Phase JP Nagar,1765.0,3.0,2.0,118.0,3
228,7th Phase JP Nagar,1275.0,2.0,2.0,88.0,3
229,7th Phase JP Nagar,1450.0,2.0,1.0,102.0,3
230,7th Phase JP Nagar,1035.0,2.0,1.0,39.33,2
231,7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3
232,7th Phase JP Nagar,2100.0,3.0,2.0,200.0,3
234,7th Phase JP Nagar,750.0,1.0,2.0,47.0,1
235,7th Phase JP Nagar,1050.0,2.0,1.0,42.0,2
236,7th Phase JP Nagar,990.0,2.0,2.0,50.0,2
237,7th Phase JP Nagar,1000.0,1.0,1.0,60.0,1
239,7th Phase JP Nagar,1100.0,2.0,1.0,44.0,2
240,7th Phase JP Nagar,1430.0,2.0,1.0,102.0,3
241,7th Phase JP Nagar,1128.0,2.0,1.0,60.0,2
242,7th Phase JP Nagar,2100.0,3.0,2.0,190.0,3
243,7th Phase JP Nagar,1140.0,2.0,1.0,57.0,2
244,7th Phase JP Nagar,1420.0,3.0,2.0,90.0,3
245,7th Phase JP Nagar,1530.0,2.0,1.0,108.0,2
246,8th Phase JP Nagar,1073.5,2.0,0.0,54.005,2
247,8th Phase JP Nagar,451.0,1.0,0.0,29.9,1
249,8th Phase JP Nagar,1062.0,2.0,1.0,42.47,2
251,8th Phase JP Nagar,1455.0,3.0,2.0,73.31,3
252,8th Phase JP Nagar,871.0,2.0,2.0,55.0,2
253,8th Phase JP Nagar,1098.0,2.0,1.0,43.91,2
254,8th Phase JP Nagar,1800.0,3.0,1.0,80.0,3
255,8th Phase JP Nagar,2700.0,4.0,2.0,130.0,4
256,8th Phase JP Nagar,1080.0,2.0,2.0,38.0,2
257,8th Phase JP Nagar,1059.0,2.0,2.0,34.5,2
258,8th Phase JP Nagar,1080.0,2.0,2.0,35.0,2
260,8th Phase JP Nagar,1062.0,2.0,1.0,42.47,2
261,8th Phase JP Nagar,500.0,1.0,1.0,31.0,1
262,8th Phase JP Nagar,1100.0,2.0,2.0,35.0,2
263,8th Phase JP Nagar,2100.0,4.0,3.0,92.0,4
264,8th Phase JP Nagar,1035.0,2.0,1.0,39.33,2
265,8th Phase JP Nagar,909.0,2.0,1.0,40.9,2
266,8th Phase JP Nagar,1431.5,3.0,0.0,72.02,3
267,8th Phase JP Nagar,1900.0,4.0,1.0,90.0,3
268,8th Phase JP Nagar,500.0,1.0,1.0,30.0,1
269,8th Phase JP Nagar,1125.0,2.0,2.0,36.94,2
270,8th Phase JP Nagar,1100.0,2.0,3.0,35.0,2
271,8th Phase JP Nagar,1089.0,2.0,1.0,43.55,2
273,8th Phase JP Nagar,1504.0,2.0,2.0,83.0,3
274,8th Phase JP Nagar,2600.0,4.0,2.0,115.0,4
276,8th Phase JP Nagar,1089.0,2.0,1.0,43.55,2
278,8th Phase JP Nagar,1513.0,2.0,3.0,62.0,2
279,8th Phase JP Nagar,1298.0,2.0,1.0,59.0,2
280,8th Phase JP Nagar,1006.0,2.0,0.0,44.0,2
281,8th Phase JP Nagar,500.0,1.0,1.0,33.0,1
282,8th Phase JP Nagar,1245.0,2.0,1.0,59.0,2
283,8th Phase JP Nagar,1510.0,2.0,3.0,80.0,2
284,8th Phase JP Nagar,3300.0,3.0,2.0,165.0,3
287,8th Phase JP Nagar,1046.0,2.0,1.0,48.0,2
289,8th Phase JP Nagar,1408.0,3.0,2.0,80.0,3
291,9th Phase JP Nagar,1005.0,2.0,1.0,50.0,2
293,9th Phase JP Nagar,1100.0,2.0,1.0,65.0,2
294,9th Phase JP Nagar,1080.0,2.0,2.0,37.0,2
295,9th Phase JP Nagar,1035.0,2.0,1.0,45.0,2
296,9th Phase JP Nagar,5000.0,4.0,3.0,290.0,4
297,9th Phase JP Nagar,1164.0,2.0,1.0,56.0,2
298,9th Phase JP Nagar,1005.0,2.0,1.0,42.0,2
299,9th Phase JP Nagar,1127.0,2.0,1.0,50.0,2
300,9th Phase JP Nagar,1005.0,2.0,1.0,43.0,2
301,9th Phase JP Nagar,835.0,2.0,0.0,37.0,2
302,9th Phase JP Nagar,1050.0,2.0,2.0,39.0,2
303,9th Phase JP Nagar,600.0,1.0,0.0,20.0,1
304,9th Phase JP Nagar,1466.0,2.0,2.0,71.0,2
305,9th Phase JP Nagar,1890.0,2.0,2.0,93.0,3
306,9th Phase JP Nagar,1079.0,2.0,1.0,60.0,2
307,9th Phase JP Nagar,1480.0,2.0,1.0,80.0,2
308,9th Phase JP Nagar,1200.0,2.0,0.0,80.0,2
309,9th Phase JP Nagar,905.0,2.0,1.0,32.0,2
310,9th Phase JP Nagar,1073.0,2.0,1.0,52.36,2
311,9th Phase JP Nagar,1719.3,2.0,2.0,88.0,3
312,9th Phase JP Nagar,1780.0,3.0,2.0,88.0,3
314,9th Phase JP Nagar,1522.0,3.0,2.0,90.0,3
317,9th Phase JP Nagar,890.0,2.0,2.0,45.0,2
319,9th Phase JP Nagar,5000.0,4.0,2.0,300.0,4
321,9th Phase JP Nagar,1050.0,2.0,2.0,35.0,2
322,9th Phase JP Nagar,1331.95,2.0,2.0,69.0,2
323,AECS Layout,1100.0,2.0,3.0,45.0,2
324,AECS Layout,1620.0,3.0,2.0,98.0,3
325,AECS Layout,1028.0,2.0,1.0,42.0,2
326,AECS Layout,1199.0,2.0,2.0,65.0,2
327,AECS Layout,1080.0,2.0,2.0,55.0,2
329,AECS Layout,1045.0,2.0,1.0,36.58,2
330,AECS Layout,1123.0,2.0,2.0,64.0,2
331,AECS Layout,1308.0,2.0,1.0,60.0,2
332,AECS Layout,1135.0,2.0,2.0,68.0,2
333,AECS Layout,1005.0,2.0,1.0,55.0,2
335,Abbigere,985.0,2.0,1.0,40.39,2
336,Abbigere,2200.0,6.0,2.0,68.0,6
337,Abbigere,765.0,2.0,2.0,30.0,1
338,Abbigere,880.0,2.0,1.0,35.0,2
339,Abbigere,795.0,2.0,1.0,32.54,2
340,Abbigere,1005.0,2.0,1.0,39.59,2
342,Abbigere,1020.0,2.0,1.0,41.82,2
343,Abbigere,985.0,2.0,1.0,40.39,2
344,Abbigere,2500.0,6.0,0.0,81.0,6
345,Abbigere,795.0,2.0,1.0,32.54,2
346,Abbigere,1130.0,2.0,1.0,46.33,2
347,Abbigere,795.0,1.0,1.0,32.6,2
348,Abbigere,985.0,2.0,1.0,38.92,2
349,Abbigere,1000.0,2.0,1.0,41.0,2
350,Abbigere,995.0,2.0,1.0,40.8,2
351,Abbigere,1020.0,2.0,1.0,40.8,2
352,Akshaya Nagar,1388.0,2.0,3.0,57.0,2
353,Akshaya Nagar,1070.0,2.0,1.0,54.0,2
354,Akshaya Nagar,1280.0,2.0,2.0,58.0,2
355,Akshaya Nagar,1662.0,3.0,3.0,85.1,3
356,Akshaya Nagar,1897.0,3.0,2.0,120.0,3
357,Akshaya Nagar,1410.0,2.0,2.0,75.0,3
358,Akshaya Nagar,1360.0,2.0,2.0,85.0,3
360,Akshaya Nagar,1410.0,2.0,2.0,80.0,3
361,Akshaya Nagar,1662.0,3.0,2.0,85.0,3
362,Akshaya Nagar,1662.0,3.0,2.0,85.5,3
363,Akshaya Nagar,1280.0,2.0,1.0,60.0,2
364,Akshaya Nagar,1666.0,3.0,2.0,95.0,3
365,Akshaya Nagar,1575.0,3.0,2.0,90.0,3
366,Akshaya Nagar,1430.0,2.0,2.0,75.0,3
367,Akshaya Nagar,1419.0,2.0,3.0,73.0,3
368,Akshaya Nagar,1280.0,2.0,1.0,60.0,2
369,Akshaya Nagar,1200.0,2.0,1.0,50.0,2
370,Akshaya Nagar,1092.0,2.0,1.0,60.0,2
371,Akshaya Nagar,1690.0,3.0,2.0,85.0,3
372,Akshaya Nagar,1700.0,3.0,1.0,80.0,3
373,Akshaya Nagar,1897.0,4.0,2.0,93.0,3
374,Akshaya Nagar,1884.0,3.0,3.0,98.0,3
376,Akshaya Nagar,1314.0,2.0,2.0,68.8,2
377,Akshaya Nagar,1690.0,3.0,2.0,85.0,3
378,Akshaya Nagar,1265.0,2.0,3.0,67.0,2
379,Akshaya Nagar,1126.0,2.0,1.0,55.0,2
381,Akshaya Nagar,1662.0,3.0,2.0,90.0,3
382,Akshaya Nagar,1420.0,2.0,2.0,75.0,3
384,Akshaya Nagar,1412.0,2.0,3.0,88.0,3
385,Akshaya Nagar,1434.0,3.0,3.0,84.0,3
386,Akshaya Nagar,1890.0,4.0,2.0,100.0,3
387,Akshaya Nagar,2650.0,3.0,2.0,125.0,3
388,Akshaya Nagar,1419.0,2.0,3.0,87.0,3
389,Akshaya Nagar,1300.0,2.0,1.0,54.0,2
390,Akshaya Nagar,1690.0,3.0,2.0,85.0,3
391,Akshaya Nagar,1000.0,2.0,1.0,38.0,2
392,Akshaya Nagar,1113.0,2.0,1.0,52.0,2
393,Akshaya Nagar,1820.0,4.0,2.0,95.0,3
394,Akshaya Nagar,1100.0,2.0,2.0,48.0,2
395,Akshaya Nagar,1896.0,3.0,2.0,102.0,3
396,Akshaya Nagar,1300.0,2.0,2.0,66.0,2
397,Akshaya Nagar,1225.0,2.0,0.0,68.0,2
398,Akshaya Nagar,1179.0,2.0,1.0,51.0,2
399,Akshaya Nagar,1421.0,2.0,2.0,73.0,3
400,Akshaya Nagar,1200.0,2.0,2.0,45.0,2
401,Akshaya Nagar,1893.0,4.0,2.0,95.0,3
402,Akshaya Nagar,900.0,2.0,1.0,45.0,2
403,Ambalipura,1105.0,2.0,1.0,75.0,2
404,Ambalipura,1800.0,3.0,3.0,110.0,3
405,Ambalipura,1150.0,2.0,2.0,80.0,2
406,Ambalipura,1250.0,2.0,2.0,66.25,2
407,Ambalipura,1332.0,2.0,1.0,79.0,2
408,Ambalipura,1730.0,3.0,1.0,120.0,3
409,Ambalipura,896.0,2.0,1.0,30.13,2
410,Ambalipura,3500.0,3.0,2.0,198.0,3
411,Ambalipura,1230.0,2.0,2.0,66.25,2
412,Ambalipura,1351.0,2.0,1.0,77.0,2
414,Ambalipura,950.0,2.0,1.0,31.95,2
415,Ambalipura,1625.0,2.0,2.0,145.0,3
416,Ambalipura,1817.0,3.0,3.0,102.0,3
418,Ambalipura,1303.0,2.0,2.0,80.0,2
419,Ambalipura,1607.0,2.0,2.0,112.0,3
420,Ambalipura,770.0,1.0,2.0,43.82,1
421,Ambalipura,860.0,2.0,1.0,28.93,2
422,Ambalipura,1700.0,2.0,2.0,76.0,2
423,Ambalipura,1060.0,2.0,1.0,58.5,2
424,Ambalipura,1650.0,3.0,3.0,100.0,3
425,Ambalipura,1607.0,2.0,2.0,112.0,3
426,Ambalipura,1198.0,2.0,2.0,80.0,2
427,Ambedkar Nagar,1935.0,4.0,2.0,130.0,3
428,Ambedkar Nagar,1424.0,2.0,2.0,90.0,2
429,Ambedkar Nagar,2225.0,4.0,2.0,169.0,3
430,Ambedkar Nagar,1862.0,3.0,2.0,120.0,3
431,Ambedkar Nagar,1850.0,4.0,3.0,139.0,3
432,Ambedkar Nagar,1936.0,4.0,2.0,126.0,3
433,Ambedkar Nagar,1862.0,3.0,2.0,119.0,3
434,Ambedkar Nagar,1424.0,2.0,2.0,90.0,2
435,Ambedkar Nagar,2150.0,4.0,2.0,125.0,3
436,Ambedkar Nagar,3530.0,4.0,2.0,290.0,4
437,Ambedkar Nagar,1856.0,3.0,1.0,120.0,3
438,Ambedkar Nagar,1852.0,3.0,2.0,130.0,3
439,Ambedkar Nagar,1850.0,4.0,2.0,120.0,3
440,Ambedkar Nagar,1367.0,2.0,2.0,86.0,2
441,Ambedkar Nagar,3565.0,4.0,3.0,255.0,4
442,Ambedkar Nagar,1409.0,2.0,2.0,95.0,2
443,Ambedkar Nagar,1950.0,4.0,2.0,120.0,3
444,Ambedkar Nagar,1921.0,4.0,3.0,129.0,3
445,Ambedkar Nagar,1920.0,4.0,2.0,121.0,3
446,Ambedkar Nagar,1935.0,4.0,2.0,125.0,3
447,Ambedkar Nagar,1852.0,4.0,2.0,122.0,3
448,Ambedkar Nagar,1950.0,4.0,2.0,120.0,3
449,Ambedkar Nagar,1852.0,3.0,2.0,125.0,3
450,Ambedkar Nagar,1850.0,4.0,2.0,121.0,3
451,Ambedkar Nagar,1425.0,2.0,1.0,94.0,2
452,Ambedkar Nagar,2395.0,4.0,2.0,150.0,3
453,Amruthahalli,900.0,2.0,1.0,40.0,2
454,Amruthahalli,1200.0,2.0,2.0,55.0,2
455,Amruthahalli,1900.0,3.0,1.0,135.0,3
456,Amruthahalli,924.0,2.0,1.0,45.0,2
457,Amruthahalli,900.0,2.0,1.0,60.0,2
458,Amruthahalli,1100.0,2.0,1.0,45.0,2
459,Amruthahalli,1200.0,2.0,1.0,55.0,2
463,Amruthahalli,1450.0,2.0,1.0,85.0,3
464,Amruthahalli,1200.0,2.0,2.0,55.0,2
465,Amruthahalli,1250.0,2.0,2.0,79.0,2
466,Amruthahalli,1190.0,2.0,2.0,50.0,2
467,Amruthahalli,1202.0,2.0,1.0,65.0,2
468,Amruthahalli,1340.0,2.0,1.0,75.0,2
469,Amruthahalli,2650.0,4.0,0.0,175.0,3
470,Amruthahalli,1450.0,2.0,1.0,90.0,3
471,Amruthahalli,1025.0,2.0,1.0,42.0,2
472,Amruthahalli,485.0,1.0,1.0,19.5,1
473,Amruthahalli,600.0,1.0,1.0,55.0,1
474,Anandapura,1167.0,2.0,1.0,43.76,2
475,Anandapura,1000.0,2.0,1.0,55.0,2
476,Anandapura,1141.0,2.0,1.0,42.79,2
477,Anandapura,900.0,2.0,0.0,64.0,2
478,Anandapura,1475.0,2.0,1.0,50.0,4
480,Anandapura,1200.0,2.0,1.0,67.0,2
481,Anandapura,1200.0,2.0,1.0,58.0,2
482,Anandapura,1151.0,2.0,1.0,43.1,2
483,Anandapura,1141.0,2.0,1.0,42.75,2
484,Anandapura,900.0,2.0,0.0,48.0,2
485,Anandapura,1749.0,4.0,0.0,90.0,4
486,Anandapura,1151.0,2.0,1.0,42.9,2
488,Anandapura,1250.0,2.0,2.0,45.0,2
489,Anandapura,875.0,2.0,1.0,57.0,2
490,Anandapura,1151.0,2.0,1.0,43.16,2
491,Anandapura,1200.0,2.0,0.0,58.0,2
492,Anandapura,1200.0,2.0,0.0,66.0,3
493,Anandapura,1415.0,2.0,1.0,74.0,3
494,Anandapura,1200.0,2.0,1.0,50.0,2
495,Anandapura,1141.0,2.0,1.0,50.0,2
497,Ananth Nagar,500.0,1.0,1.0,14.0,1
498,Ananth Nagar,1100.0,2.0,2.0,31.5,2
499,Ananth Nagar,982.0,2.0,2.0,24.55,2
500,Ananth Nagar,500.0,2.0,2.0,14.0,1
501,Ananth Nagar,900.0,2.0,2.0,22.5,2
502,Ananth Nagar,908.0,2.0,1.0,26.0,2
503,Ananth Nagar,937.0,2.0,1.0,35.0,2
504,Ananth Nagar,960.0,2.0,3.0,37.0,2
505,Ananth Nagar,500.0,1.0,1.0,14.0,1
506,Ananth Nagar,1000.0,2.0,1.0,29.7,2
